,district_name,avg_class_size,number_of_students,african_american_pct,asian_pct,hispanic_pct,white_pct,native_american_pct,nhpi_pct,mrnh_pct,ap_pct_score_3-5,high_school_graduates_num,attending_colluniv_num,attend_uni_pct,private_four-year_pct,reading__writing,math,num_in_cohort,pct_graduated,pct_dropped_out,towns,school_name,pop_census_2020,population_census_april_1_2010,white_alone_pct,black_or_african_american_alone_pct,american_indian_and_alaska_native_alone_pct,asian_alone_pct,native_hawaiian_and_other_pacific_islander_alone_pct,two_or_more_races_pct,hisp_latino_pct,white_pop_nhl,foreign_born_pct,persons_per_household_2015-2019,median_household_income,per_cap_income_12_mos,persons_in_poverty_pct,pop_sq_mi_2010,land_area_in_square_miles_2010,predicted_uni_pct,residuals_uni_pct,predicted_uni_pct2,residuals_uni_pct2
20,Newburyport,14.0,"2,150",0.9,1.9,4.3,90.3,0.0,0.0,2.6,62.0,178.0,145.0,81.5,43.4,581.0,583.0,186,94.6,0.5,Newburyport,Newburyport High School,18289,17416,0.941,0.017,0.0,0.022,0.0,0.017,0.028,0.924,0.075,2.27,109839,64018,0.059,2086.2,8.35,77.0478889368217,4.452111063178293,76.98246848280438,4.517531517195621
21,North Andover,18.0,"4,559",2.9,7.6,13.5,72.5,0.1,0.1,3.3,80.0,329.0,273.0,83.0,48.4,576.0,567.0,333,97.3,0.3,North Andover,North Andover High School,30915,28352,0.858,0.036,0.001,0.061,0.0,0.023,0.076,0.811,0.119,2.67,108070,54939,0.056,1077.8,26.31,72.85202314430376,10.147976855696243,73.39057291947995,9.60942708052005
22,Peabody,16.4,"5,813",3.8,2.1,19.4,72.5,0.2,0.0,2.0,56.5,335.0,204.0,60.9,37.7,537.0,530.0,374,88.0,5.9,Peabody,Peabody Veterans Memorial High School,54481,51251,0.899,0.038,0.004,0.011,0.0,0.027,0.099,0.827,0.154,2.41,73217,40095,0.086,3161.4,16.21,64.00954939161755,-3.1095493916175556,63.65905168142207,-2.759051681422072
23,Pentucket,16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,63.3,182.0,146.0,80.2,40.4,581.0,572.0,188,94.7,3.2,Groveland,Pentucket Regional High School,6752,6459,0.983,0.0,0.003,0.007,0.0,0.003,0.032,0.959,0.025,2.77,103125,44709,0.028,727.1,8.88,75.26029205082544,4.9397079491745615,75.53893021084995,4.661069789150048
24,Pentucket,16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,63.3,182.0,146.0,80.2,40.4,581.0,572.0,188,94.7,3.2,Merrimac,Pentucket Regional High School,6723,6338,0.967,0.002,0.0,0.01,0.0,0.007,0.024,0.956,0.033,2.53,84609,44616,0.034,749.3,8.46,70.56264065769608,9.637359342303924,71.73058126354904,8.469418736450962
25,Pentucket,16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,63.3,182.0,146.0,80.2,40.4,581.0,572.0,188,94.7,3.2,West Newbury,Pentucket Regional High School,6752,6459,0.983,0.0,0.003,0.007,0.0,0.003,0.032,0.959,0.025,2.77,103125,44709,0.028,727.1,8.88,75.26029205082544,4.9397079491745615,75.53893021084995,4.661069789150048
26,Rockport,14.7,770,0.7,1.8,3.6,90.4,0.0,0.1,3.4,38.8,75.0,50.0,66.7,48.0,603.0,589.0,79,94.9,1.3,Rockport,Rockport High School,6992,6952,0.97,0.001,0.0,0.001,0.0,0.011,0.007,0.965,0.029,2.16,85208,51122,0.067,994.4,6.99,70.81986596521551,-4.11986596521551,71.68097026216564,-4.980970262165641
27,Salem,13.5,"3,772",6.6,2.6,43.9,42.4,0.0,0.0,4.5,56.1,219.0,110.0,50.2,27.3,531.0,511.0,276,73.9,10.9,Salem,Salem High School,44480,41340,0.79,0.066,0.006,0.025,0.0,0.038,0.178,0.718,0.146,2.25,68808,38400,0.147,4992.9,8.28,56.554636900423944,-6.354636900423941,52.515475488028365,-2.315475488028362
28,Saugus,17.0,"2,425",5.4,5.5,22.8,62.5,0.8,0.4,2.6,50.6,162.0,102.0,63.0,36.3,532.0,529.0,179,87.7,7.3,Saugus,Saugus High School,28619,26628,0.907,0.021,0.003,0.038,0.0,0.017,0.086,0.833,0.132,2.67,88667,39790,0.098,2467.0,10.79,65.82424488918402,-2.8242448891840155,64.89203153668593,-1.8920315366859342
29,Swampscott,16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0.0,3.1,68.8,160.0,124.0,77.5,37.1,606.0,596.0,163,95.7,0.6,Nahant,Swampscott High School,15111,13787,0.935,0.015,0.0,0.022,0.0,0.021,0.025,0.917,0.129,2.57,113407,56405,0.031,4560.1,3.02,75.38491039381985,2.115089606180149,77.3274783786029,0.17252162139709526
30,Swampscott,16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0.0,3.1,68.8,160.0,124.0,77.5,37.1,606.0,596.0,163,95.7,0.6,Swampscott,Swampscott High School,15111,13787,0.935,0.015,0.0,0.022,0.0,0.021,0.025,0.917,0.129,2.57,113407,56405,0.031,4560.1,3.02,75.38491039381985,2.115089606180149,77.3274783786029,0.17252162139709526
31,Triton,16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,69.0,174.0,117.0,67.2,30.8,595.0,585.0,190,89.5,3.7,Newbury,Triton Regional High School,6716,6666,0.937,0.01,0.0,0.016,0.0,0.012,0.03,0.921,0.04,2.68,101875,57871,0.089,285.4,23.35,74.98525921448964,-7.785259214489642,76.29697408152137,-9.096974081521367
32,Triton,16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,69.0,174.0,117.0,67.2,30.8,595.0,585.0,190,89.5,3.7,Rowley,Triton Regional High School,6161,5856,0.959,0.012,0.0,0.011,0.0,0.016,0.008,0.954,0.033,2.86,115909,54885,0.044,321.6,18.21,78.54579278821926,-11.345792788219256,79.19476519762546,-11.994765197625455
33,Triton,16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,69.0,174.0,117.0,67.2,30.8,595.0,585.0,190,89.5,3.7,Salisbury,Triton Regional High School,9236,8283,0.959,0.007,0.001,0.011,0.002,0.01,0.036,0.928,0.049,2.39,81304,43214,0.062,536.9,15.43,69.76623854004247,-2.5662385400424625,72.11427138845619,-4.914271388456186
